FREQ,Frequency,REP_CTY,Reporting country,INDICATOR_CT,Indicator (comparative table),MEASURE,Measure,UNIT_MEASURE,Unit of measure,INSTRUMENT_TYPE_CT,Instrument type (comparative table),WITH_AND_DEP,Withdrawals and deposits,TERMINAL_TYPE_CT,Terminal type (comparative table),CARD_TYPE,Card type,UNIT_MULT,Unit Multiplier,TABLE,TITLE_TS,DECIMALS,Decimals,COLLECTION,Collection Indicator,AVAILABILITY,Availability,TIME_FORMAT,Time Format,Series,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A,Annual,US,United States,M,Cashless payments,N,Number,T,Per day,A,All,Z,Not applicable,Z,Not applicable,Z,Not applicable,6,Millions,5,"United States - Number of Cashless payments, All",3,Three,S,Summed through period,A,All users,,,A:US:M:N:T:A:Z:Z:Z,315.8602,332.7878,349.6173,367.0802,386.5246,415.8107,444.0781,467.5539,478.4995,523.9654,564.7118
A,Annual,CH,Switzerland,R,Withdrawals/deposits,V,Value,M,in % of total withdrawals/deposits,Z,Not applicable,B,"Cash withdrawals with cards issued inside the country, all",Z,Not applicable,Z,Not applicable,0,Units,12a,"Switzerland - Value of Withdrawals/deposits, All Cash withdrawals with cards issued inside the country",2,Two,S,Summed through period,A,All users,,,A:CH:R:V:M:Z:B:Z:Z,99.9513,99.9755,99.3967,94.4577,94.0423,92.9911,92.3646,93.636,94.3338,93.0132,93.5338
A,Annual,ES,Spain,U,Terminals,N,Number,Q,Per inhabitant,Z,Not applicable,Z,Not applicable,A,"POS, all",Z,Not applicable,0,Units,14b,"Spain - Number of Terminals, All POS",4,Four,E,End of period,A,All users,,,A:ES:U:N:Q:Z:Z:A:Z,0.028428,0.024434,0.026611,0.030043,0.03252,0.034052,0.035378,0.037447,0.039446,0.041619,0.082862
A,Annual,IT,Italy,R,Withdrawals/deposits,N,Number,Q,Per inhabitant,Z,Not applicable,C,"Cash withdrawals with cards issued inside the country, at locations inside the country",Z,Not applicable,Z,Not applicable,0,Units,10c,"Italy - Number of Withdrawals/deposits, Cash withdrawals with cards issued inside the country, at locations inside the country",2,Two,S,Summed through period,A,All users,,,A:IT:R:N:Q:Z:C:Z:Z,12.3604,13.1678,15.7936,16.7858,16.7512,17.0788,17.1317,16.9249,13.5766,14.215,15.1472
A,Annual,AR,Argentina,U,Terminals,N,Number,Q,Per inhabitant,Z,Not applicable,Z,Not applicable,G,"ATMs, Credit transfer",Z,Not applicable,0,Units,14b,"Argentina - Number of Terminals, ATMs, Credit transfer",4,Four,E,End of period,A,All users,,,A:AR:U:N:Q:Z:Z:G:Z,0.00028756,0.00030462,0.00031378,0.00032359,0.00034186,0.00035811,0.00036825,0.00037694,0.0003692,0.00038907,0.00038521
A,Annual,SG,Singapore,F,Banknotes and coins,V,Value,A,In USD,Z,Not applicable,Z,Not applicable,Z,Not applicable,Z,Not applicable,9,Billions,2,Singapore - Value of Banknotes and coins,2,Two,E,End of period,A,All users,,,A:SG:F:V:A:Z:Z:Z:Z,23.8419,25.0683,26.0232,27.1395,29.4129,34.2681,35.9627,38.8867,43.3382,44.6858,47.1348
A,Annual,SE,Sweden,R,Withdrawals/deposits,N,Number,G,Annual growth,Z,Not applicable,D,"Cash withdrawals with cards issued inside the country, at locations outside the country",Z,Not applicable,Z,Not applicable,0,Units,10b,"Sweden - Number of Withdrawals/deposits, Cash withdrawals with cards issued inside the country, at locations outside the country",2,Two,S,Summed through period,A,All users,,,A:SE:R:N:G:Z:D:Z:Z,,-12.5,-42.8571,206.5,5.0571,0.93168,139.9231,195.287,-30.9446,-14.7327,-0.86668
A,Annual,BE,Belgium,R,Withdrawals/deposits,V,Value,M,in % of total withdrawals/deposits,Z,Not applicable,I,E-money loading/unloading transactions,Z,Not applicable,Z,Not applicable,0,Units,12a,"Belgium - Value of Withdrawals/deposits, E-money loading/unloading transactions",2,Two,S,Summed through period,A,All users,,,A:BE:R:V:M:Z:I:Z:Z,NaN,NaN,0.13371,0.26308,0.38811,0.59584,0.79146,0.92776,1.4034,1.768,0
A,Annual,CH,Switzerland,M,Cashless payments,N,Number,G,Annual growth,E,"Card and e-money payments, all",Z,Not applicable,Z,Not applicable,Z,Not applicable,0,Units,6b,"Switzerland - Number of Cashless payments, All Card and e-money payments",3,Three,S,Summed through period,A,All users,,,A:CH:M:N:G:E:Z:Z:Z,,7.3956,11.0538,26.6261,12.611,12.9497,15.3015,13.8822,6.7363,14.1321,15.7218
A,Annual,JP,Japan,M,Cashless payments,N,Number,Q,Per inhabitant,A,All,Z,Not applicable,Z,Not applicable,Z,Not applicable,0,Units,5,"Japan - Number of Cashless payments, All",3,Three,S,Summed through period,A,All users,,,A:JP:M:N:Q:A:Z:Z:Z,87.2937,38.6208,44.903,50.3805,54.9052,57.3859,62.0355,72.4281,86.9747,104.4024,131.9921
A,Annual,HK,Hong Kong SAR,G,Bank deposits held at the central bank,V,Value,I,In % of GDP,Z,Not applicable,Z,Not applicable,Z,Not applicable,Z,Not applicable,0,Units,3,Hong Kong SAR - Value of Bank deposits held at the central bank,2,Two,E,End of period,A,All users,,,A:HK:G:V:I:Z:Z:Z:Z,12.5598,7.674,10.5833,16.3177,10.4229,6.76,2.7715,2.3792,17.0965,13.1648,3.4155
A,Annual,ID,Indonesia,M,Cashless payments,N,Number,G,Annual growth,J,Other payment instruments,Z,Not applicable,Z,Not applicable,Z,Not applicable,0,Units,6b,"Indonesia - Number of Cashless payments, Other payment instruments",3,Three,S,Summed through period,A,All users,,,A:ID:M:N:G:J:Z:Z:Z,,-0.22589,-4.6998,-8.3204,-9.838,-25.2255,-20.9543,-11.1838,-25.505,-23.1965,-13.8583
A,Annual,IT,Italy,M,Cashless payments,N,Number,N,Units,C,Direct debits,Z,Not applicable,Z,Not applicable,Z,Not applicable,6,Millions,6,"Italy - Number of Cashless payments, Direct debits",2,Two,S,Summed through period,A,All users,,,A:IT:M:N:N:C:Z:Z:Z,602.27,624.34,608.093,682.25,790.7,822.83,919.62,979.19,1033.48,1137.53,1202.1
A,Annual,NL,Netherlands,U,Terminals,N,Number,N,Units,Z,Not applicable,Z,Not applicable,E,"ATMs, Cash withdrawal",Z,Not applicable,3,Thousands,14,"Netherlands - Number of Terminals, ATMs, Cash withdrawal",0,Zero,E,End of period,A,All users,,,A:NL:U:N:N:Z:Z:E:Z,7.569,7.383,7.165,7.004,6.75,6.389,5.939,6.424,5.795,4.916,5.117
A,Annual,DE,Germany,M,Cashless payments,N,Number,N,Units,K,Memo: Money remittances,Z,Not applicable,Z,Not applicable,Z,Not applicable,6,Millions,6,"Germany - Number of Cashless payments, Memo: Money remittances",2,Two,S,Summed through period,A,All users,,,A:DE:M:N:N:K:Z:Z:Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.69
A,Annual,AR,Argentina,R,Withdrawals/deposits,N,Number,G,Annual growth,Z,Not applicable,E,Memo: Cash withdrawals at locations inside the country,Z,Not applicable,Z,Not applicable,0,Units,10b,"Argentina - Number of Withdrawals/deposits, Memo: Cash withdrawals at locations inside the country",2,Two,S,Summed through period,A,All users,,,A:AR:R:N:G:Z:E:Z:Z,,6.1941,8.9806,12.1973,10.1599,9.1051,7.5005,8.4766,-5.3695,2.5241,0.89757
A,Annual,TR,Türkiye,N,Fast payments,N,Number,G,Annual growth,A,All,Z,Not applicable,Z,Not applicable,Z,Not applicable,0,Units,6e,"Türkiye - Number of Fast payments, All",3,Three,S,Summed through period,A,All users,,,A:TR:N:N:G:A:Z:Z:Z,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,155.6685
A,Annual,AU,Australia,M,Cashless payments,N,Number,Q,Per inhabitant,D,Cheques,Z,Not applicable,Z,Not applicable,Z,Not applicable,0,Units,6c,"Australia - Number of Cashless payments, Cheques",3,Three,S,Summed through period,A,All users,,,A:AU:M:N:Q:D:Z:Z:Z,9.8477,8.3892,7.085,5.848,4.6052,3.6395,2.8672,2.2421,1.6189,1.2687,1.0205
A,Annual,SE,Sweden,M,Cashless payments,N,Number,N,Units,J,Other payment instruments,Z,Not applicable,Z,Not applicable,Z,Not applicable,6,Millions,6,"Sweden - Number of Cashless payments, Other payment instruments",2,Two,S,Summed through period,A,All users,,,A:SE:M:N:N:J:Z:Z:Z,0,0,0,0,0,0,0.9,0.9,0.6,0.7,0.7
A,Annual,TR,Türkiye,R,Withdrawals/deposits,V,Value,A,In USD,Z,Not applicable,A,All,Z,Not applicable,Z,Not applicable,6,Millions,11,"Türkiye - Value of Withdrawals/deposits, All",2,Two,S,Summed through period,A,All users,,,A:TR:R:V:A:Z:A:Z:Z,181162.598,199013.9534,198618.4221,184470.7873,197663.2339,184062.4753,163816.4935,164973.1333,146401.4643,135961.823,116834.2718
A,Annual,CH,Switzerland,F,Banknotes and coins,V,Value,J,In % of M1,Z,Not applicable,Z,Not applicable,Z,Not applicable,Z,Not applicable,0,Units,2,Switzerland - Value of Banknotes and coins,2,Two,E,End of period,A,All users,,,A:CH:F:V:J:Z:Z:Z:Z,12.0509,12.3949,12.4481,13.5791,13.6539,13.3083,12.7168,12.9725,12.5179,12.1974,11.2864
A,Annual,SA,Saudi Arabia,R,Withdrawals/deposits,V,Value,S,Per transaction,Z,Not applicable,B,"Cash withdrawals with cards issued inside the country, all",Z,Not applicable,Z,Not applicable,0,Units,12c,"Saudi Arabia - Value of Withdrawals/deposits, All Cash withdrawals with cards issued inside the country",3,Three,S,Summed through period,A,All users,,,A:SA:R:V:S:Z:B:Z:Z,124.096,132.1812,126.3841,114.3238,103.4641,96.2185,93.5124,92.9431,95.9956,95.9682,96.6874
A,Annual,TR,Türkiye,R,Withdrawals/deposits,N,Number,T,Per day,Z,Not applicable,A,All,Z,Not applicable,Z,Not applicable,6,Millions,9,"Türkiye - Number of Withdrawals/deposits, All",3,Three,S,Summed through period,A,All users,,,A:TR:R:N:T:Z:A:Z:Z,2632112.3288,2811884.9315,3015073.9726,3247405.4795,3510035.6164,3738482.1918,4077202.7397,4360534.2466,3682972.6027,3887191.7808,4593890.411
A,Annual,BE,Belgium,M,Cashless payments,V,Value,L,in % of total cashless payments,D,Cheques,Z,Not applicable,Z,Not applicable,Z,Not applicable,0,Units,8a,"Belgium - Value of Cashless payments, Cheques",3,Three,S,Summed through period,A,All users,,,A:BE:M:V:L:D:Z:Z:Z,0.96891,0.81631,0.34726,0.28415,0.19817,0.14379,0.099457,0.061596,0.033954,0.017503,0.016553
A,Annual,BE,Belgium,R,Withdrawals/deposits,V,Value,A,In USD,Z,Not applicable,E,Memo: Cash withdrawals at locations inside the country,Z,Not applicable,Z,Not applicable,6,Millions,12,"Belgium - Value of Withdrawals/deposits, Memo: Cash withdrawals at locations inside the country",3,Three,S,Summed through period,A,All users,,,A:BE:R:V:A:Z:E:Z:Z,67364.3895,72390.6515,64501.3151,52429.7125,51327.8164,49083.436,51047.1081,44365.0221,35085.1592,34934.1948,36165.2766
A,Annual,IN,India,M,Cashless payments,V,Value,S,Per transaction,G,"Card and e-money payments, by card with a delayed debit function",Z,Not applicable,Z,Not applicable,Z,Not applicable,0,Units,8c,"India - Value of Cashless payments, Card and e-money payments, by card with a delayed debit function",2,Two,S,Summed through period,A,All users,,,A:IN:M:V:S:G:Z:Z:Z,NaN,148.9269,140.6882,127.3009,104.8483,110.7107,105.6725,93.3192,64.1217,73.7706,96.2328
A,Annual,FR,France,U,Terminals,N,Number,G,Annual growth,Z,Not applicable,Z,Not applicable,E,"ATMs, Cash withdrawal",Z,Not applicable,0,Units,14a,"France - Number of Terminals, ATMs, Cash withdrawal",2,Two,E,End of period,A,All users,,,A:FR:U:N:G:Z:Z:E:Z,NaN,0.17425,14.2177,-14.1396,-0.21563,-2.8232,-2.6811,-3.4478,-10.898,6.9466,-5.2355
A,Annual,CN,China,R,Withdrawals/deposits,N,Number,M,in % of total withdrawals/deposits,Z,Not applicable,G,Cash deposits at locations inside and outside the country,Z,Not applicable,Z,Not applicable,0,Units,10a,"China - Number of Withdrawals/deposits, Cash deposits at locations inside and outside the country",2,Two,S,Summed through period,A,All users,,,A:CN:R:N:M:Z:G:Z:Z,29.6108,30.4761,30.6271,33.2893,36.7867,35.7643,35.8238,38.359,39.5375,40.0467,41.0833
A,Annual,TR,Türkiye,R,Withdrawals/deposits,V,Value,S,Per transaction,Z,Not applicable,E,Memo: Cash withdrawals at locations inside the country,Z,Not applicable,Z,Not applicable,0,Units,12c,"Türkiye - Value of Withdrawals/deposits, Memo: Cash withdrawals at locations inside the country",3,Three,S,Summed through period,A,All users,,,A:TR:R:V:S:Z:E:Z:Z,189.1761,194.5859,181.8339,156.4587,154.8064,135.8799,111.5859,106.1665,110.3695,97.9489,71.558
A,Annual,IT,Italy,M,Cashless payments,V,Value,I,In % of GDP,H,"Card and e-money payments, by card with a credit function",Z,Not applicable,Z,Not applicable,Z,Not applicable,0,Units,8e,"Italy - Value of Cashless payments, Card and e-money payments, by card with a credit function",4,Four,S,Summed through period,A,All users,,,A:IT:M:V:I:H:Z:Z:Z,3.0524,3.1528,3.3129,3.2712,3.6738,3.791,4.5352,4.8974,4.5389,4.6449,5.2175
A,Annual,SG,Singapore,U,Terminals,N,Number,G,Annual growth,Z,Not applicable,Z,Not applicable,G,"ATMs, Credit transfer",Z,Not applicable,0,Units,14a,"Singapore - Number of Terminals, ATMs, Credit transfer",2,Two,E,End of period,A,All users,,,A:SG:U:N:G:Z:Z:G:Z,1.9483,0.22051,0.44004,2.4827,-2.2444,13.5933,2.5024,-8.0125,-8.3702,-3.6391,-2.3507
A,Annual,RU,Russia,M,Cashless payments,N,Number,G,Annual growth,H,"Card and e-money payments, by card with a credit function",Z,Not applicable,Z,Not applicable,Z,Not applicable,0,Units,6b,"Russia - Number of Cashless payments, Card and e-money payments, by card with a credit function",3,Three,S,Summed through period,A,All users,,,A:RU:M:N:G:H:Z:Z:Z,111.6435,95.0504,64.4272,33.1862,30.5099,28.4303,30.8244,36.4082,0.47887,NaN,NaN
A,Annual,SE,Sweden,B,Population,N,Number,N,Units,Z,Not applicable,Z,Not applicable,Z,Not applicable,Z,Not applicable,3,Thousands,1,Sweden - Population,2,Two,E,End of period,A,All users,,,A:SE:B:N:N:Z:Z:Z:Z,9519.4,9600.4,9696.1,9799.2,9923.085,10058,10175,10279,10353,10416,10487
A,Annual,IN,India,R,Withdrawals/deposits,V,Value,Q,Per inhabitant,Z,Not applicable,D,"Cash withdrawals with cards issued inside the country, at locations outside the country",Z,Not applicable,Z,Not applicable,0,Units,12d,"India - Value of Withdrawals/deposits, Cash withdrawals with cards issued inside the country, at locations outside the country",2,Two,S,Summed through period,A,All users,,,A:IN:R:V:Q:Z:D:Z:Z,NaN,0.27732,0.36729,0.36027,0.42066,0.55492,0.5923,0.63055,0.28323,0.22577,0.24295
A,Annual,AR,Argentina,R,Withdrawals/deposits,V,Value,H,Annual real growth,Z,Not applicable,G,Cash deposits at locations inside and outside the country,Z,Not applicable,Z,Not applicable,0,Units,12b,"Argentina - Value of Withdrawals/deposits, Cash deposits at locations inside and outside the country",2,Two,S,Summed through period,A,All users,,,A:AR:R:V:H:Z:G:Z:Z,,-12.3091,2.8783,4.7814,-18.6684,150.5871,9.4692,34.1521,46.1984,-15.7182,-26.716
A,Annual,NL,Netherlands,R,Withdrawals/deposits,N,Number,M,in % of total withdrawals/deposits,Z,Not applicable,H,With cards issued inside the country at locations inside the country,Z,Not applicable,Z,Not applicable,0,Units,10a,"Netherlands - Number of Withdrawals/deposits, With cards issued inside the country at locations inside the country",2,Two,S,Summed through period,A,All users,,,A:NL:R:N:M:Z:H:Z:Z,NaN,NaN,1.9905,4.6121,4.7206,5.0752,3.805,4.1211,8.789,14.4322,2.7807
A,Annual,IT,Italy,U,Terminals,N,Number,Q,Per inhabitant,Z,Not applicable,Z,Not applicable,B,"POS, EFTPOS",Z,Not applicable,0,Units,14b,"Italy - Number of Terminals, POS, EFTPOS",4,Four,E,End of period,A,All users,,,A:IT:U:N:Q:Z:Z:B:Z,0.025097,0.026267,0.030627,0.032865,0.037031,0.041048,0.052961,0.060098,0.062162,0.065669,0.062329
A,Annual,HK,Hong Kong SAR,M,Cashless payments,V,Value,Q,Per inhabitant,H,"Card and e-money payments, by card with a credit function",Z,Not applicable,Z,Not applicable,Z,Not applicable,0,Units,8d,"Hong Kong SAR - Value of Cashless payments, Card and e-money payments, by card with a credit function",2,Two,S,Summed through period,A,All users,,,A:HK:M:V:Q:H:Z:Z:Z,8076.3744,8580.0955,9224.1144,9841.0437,9954.6689,11390.306,12566.9925,12960.0317,11016.0662,12544.1026,12960.3452
A,Annual,FR,France,M,Cashless payments,V,Value,S,Per transaction,H,"Card and e-money payments, by card with a credit function",Z,Not applicable,Z,Not applicable,Z,Not applicable,0,Units,8c,"France - Value of Cashless payments, Card and e-money payments, by card with a credit function",2,Two,S,Summed through period,A,All users,,,A:FR:M:V:S:H:Z:Z:Z,NaN,NaN,63.0021,50.8911,12.625,51.5983,52.7626,47.5933,49.54,55.5601,49.9952
A,Annual,IT,Italy,M,Cashless payments,V,Value,Q,Per inhabitant,D,Cheques,Z,Not applicable,Z,Not applicable,Z,Not applicable,0,Units,8d,"Italy - Value of Cashless payments, Cheques",2,Two,S,Summed through period,A,All users,,,A:IT:M:V:Q:D:Z:Z:Z,14499.8215,12813.8192,11726.6544,9080.5074,8822.6354,8265.8007,8074.3441,7031.8549,5351.3277,5879.589,5150.84
A,Annual,KR,Korea,N,Fast payments,V,Value,L,in % of total cashless payments,A,All,Z,Not applicable,Z,Not applicable,Z,Not applicable,0,Units,8g,"Korea - Value of Fast payments, All",2,Two,S,Summed through period,A,All users,,,A:KR:N:V:L:A:Z:Z:Z,57.0565,60.6145,63.6816,67.425,68.9437,70.2164,72.7853,75.1385,76.9086,78.8161,80.627
A,Annual,IN,India,N,Fast payments,V,Value,S,Per transaction,A,All,Z,Not applicable,Z,Not applicable,Z,Not applicable,0,Units,8g,"India - Value of Fast payments, All",2,Two,S,Summed through period,A,All users,,,A:IN:N:V:S:A:Z:Z:Z,65.8108,106.3485,121.6635,114.4743,118.57,79.9453,50.7226,43.3245,37.4877,34.494,28.6243
A,Annual,BE,Belgium,M,Cashless payments,V,Value,S,Per transaction,J,Other payment instruments,Z,Not applicable,Z,Not applicable,Z,Not applicable,0,Units,8c,"Belgium - Value of Cashless payments, Other payment instruments",2,Two,S,Summed through period,A,All users,,,A:BE:M:V:S:J:Z:Z:Z,NaN,NaN,2187.311,2188.2834,2544.6116,3437.6433,5572.8937,3892.322,4693.588,7079.4977,13844.7549
A,Annual,FR,France,U,Terminals,N,Number,G,Annual growth,Z,Not applicable,Z,Not applicable,D,"ATMs, all",Z,Not applicable,0,Units,14a,"France - Number of Terminals, All ATMs",2,Two,E,End of period,A,All users,,,A:FR:U:N:G:Z:Z:D:Z,NaN,0.17425,22.3456,-15.312,-3.7461,-3.131,-3.1422,-3.4628,-9.3866,6.7379,-6.0647
A,Annual,DE,Germany,R,Withdrawals/deposits,N,Number,N,Units,Z,Not applicable,B,"Cash withdrawals with cards issued inside the country, all",Z,Not applicable,Z,Not applicable,6,Millions,10,"Germany - Number of Withdrawals/deposits, All Cash withdrawals with cards issued inside the country",3,Three,S,Summed through period,A,All users,,,A:DE:R:N:N:Z:B:Z:Z,2427.68,2396.347,2309.194,2421.669,2418.002,2345.891,2284.477,2192.162,1697.665,1531.239,1806.074
A,Annual,TR,Türkiye,M,Cashless payments,V,Value,S,Per transaction,F,"Card and e-money payments, by card with a debit function",Z,Not applicable,Z,Not applicable,Z,Not applicable,0,Units,8c,"Türkiye - Value of Cashless payments, Card and e-money payments, by card with a debit function",2,Two,S,Summed through period,A,All users,,,A:TR:M:V:S:F:Z:Z:Z,20.7377,21.5495,20.3634,16.5941,15.918,14.0075,11.2012,10.7808,11.2073,10.4892,8.8769
A,Annual,GB,United Kingdom,M,Cashless payments,V,Value,A,In USD,D,Cheques,Z,Not applicable,Z,Not applicable,Z,Not applicable,6,Millions,8,"United Kingdom - Value of Cashless payments, Cheques",3,Three,S,Summed through period,A,All users,,,A:GB:M:V:A:D:Z:Z:Z,1355023.8962,1146375.5475,1141929.4716,953658.9019,842210.9657,633233.9722,590708.4101,541949.4368,296290.5957,279220.4934,177312.1692
A,Annual,IT,Italy,R,Withdrawals/deposits,N,Number,Q,Per inhabitant,Z,Not applicable,A,All,Z,Not applicable,Z,Not applicable,0,Units,9,"Italy - Number of Withdrawals/deposits, All",3,Three,S,Summed through period,A,All users,,,A:IT:R:N:Q:Z:A:Z:Z,NaN,13.9028,17.649,19.0239,19.4643,20.0944,20.5891,20.9536,17.5468,18.907,19.9197
A,Annual,TR,Türkiye,R,Withdrawals/deposits,V,Value,A,In USD,Z,Not applicable,C,"Cash withdrawals with cards issued inside the country, at locations inside the country",Z,Not applicable,Z,Not applicable,6,Millions,12,"Türkiye - Value of Withdrawals/deposits, Cash withdrawals with cards issued inside the country, at locations inside the country",3,Three,S,Summed through period,A,All users,,,A:TR:R:V:A:Z:C:Z:Z,180524.6647,198136.0207,197335.6102,183125.8074,196293.1508,182166.3957,161597.4979,162824.8693,144277.5389,133367.9387,114060.2683
A,Annual,BR,Brazil,U,Terminals,N,Number,G,Annual growth,Z,Not applicable,Z,Not applicable,B,"POS, EFTPOS",Z,Not applicable,0,Units,14a,"Brazil - Number of Terminals, POS, EFTPOS",2,Two,E,End of period,A,All users,,,A:BR:U:N:G:Z:Z:B:Z,16.5244,8.8016,13.2068,3.7938,-6.007,-2.7643,77.4632,33.5348,27.9967,25.5388,17.0675
A,Annual,SE,Sweden,M,Cashless payments,V,Value,Q,Per inhabitant,I,"Card and e-money payments, e-money payments",Z,Not applicable,Z,Not applicable,Z,Not applicable,0,Units,8d,"Sweden - Value of Cashless payments, Card and e-money payments, e-money payments",2,Two,S,Summed through period,A,All users,,,A:SE:M:V:Q:I:Z:Z:Z,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
